listing_id,name,city,neighborhood,room_type,accommodates,property_type,price,review_scores_rating
867538135621907456,Sadie''s Slice of Portland Charm,Portland,Richmond,Entire home/apt,2,Entire rental unit,55.0,5.0
1201793232538286848,Good Clean place walking distanc,Portland,Goose Hollow,Private room,2,Private room in rental unit,0.0,5.0
702226271303268352,2 Bedroom Daylight Basement fully stocked,Portland,Powellhurst-Gilbert,Entire home/apt,7,Entire guesthouse,234.0,5.0
50312370,"Beautiful Waterfront Pearl Condo, View,  w/Parking",Portland,Old Town/Chinatown,Entire home/apt,2,Entire condo,125.0,5.0
1262318270255538432,"Modern, Upgraded Apartment -  free parking!",Portland,Pearl,Entire home/apt,4,Entire rental unit,0.0,5.0
30207076,"Colorful, spacious, light-filled guesthouse on MAX",Portland,Overlook,Entire home/apt,2,Entire guesthouse,103.0,5.0
21569343,Modern Gem In The City,Portland,Eliot,Entire home/apt,2,Entire rental unit,68.0,5.0
1021667442026901760,Entire PDX Condo with City View,Portland,Goose Hollow,Entire home/apt,2,Entire rental unit,88.0,5.0
943502589442473728,Zen Den 1bd w Laundry by  6 Hospitals & Downtown,Portland,Hayhurst,Entire home/apt,2,Entire guest suite,97.0,5.0
1003066133694324224,"Spacious digs in wonderful Montavilla, Portland",Portland,Montavilla,Entire home/apt,4,Entire rental unit,81.0,5.0
565771536311357696,"Travel Nurses, Digital Nomad, Spacious, Modern!",Portland,Rose City Park,Entire home/apt,3,Entire rental unit,164.0,5.0
1196484956464939008,Trendy 2BR/1BA Bungalow in Alberta Arts District!,Portland,King,Entire home/apt,4,Entire home,131.0,5.0
50337871,Luxury craftsman 5 bedroom Sullivan''s Gulch home,Portland,Sullivan''s Gulch,Entire home/apt,10,Entire home,200.0,5.0
39053512,Cozy Cottage in the City,Portland,Sunnyside,Entire home/apt,2,Entire bungalow,163.0,5.0
974108770045896064,Cute Room w/ Pool on the Roof,Portland,Buckman,Entire home/apt,2,Entire rental unit,135.0,5.0
855097881523473408,"Cute, quiet 2bed in SE Portland",Portland,Mt. Scott-Arleta,Entire home/apt,4,Entire home,170.0,5.0
1155946168748666368,The Woodsman,Portland,Richmond,Entire home/apt,4,Entire home,150.0,5.0
810747872671612672,Downtown PDX Condo Indoor Pool Mt Hood Views,Portland,Portland Downtown,Entire home/apt,2,Entire condo,162.0,5.0
50941469,"Walk to Everything | SouthEast, Mt Tabor",Portland,Mt. Tabor,Entire home/apt,2,Entire guest suite,57.0,5.0
696401590237253504,Cozy ADU - Alberta Arts District,Portland,Vernon,Entire home/apt,4,Entire guesthouse,109.0,5.0
1061146794606232192,Lavender Farm Stay at Urban Donkey Studio,Portland,Sunderland,Entire home/apt,2,Farm stay,251.0,5.0
15658660,The Cozy Retreat,Portland,Maplewood,Private room,1,Private room in home,52.0,5.0
6811607,LUX Lava Lounge in downtown Kenton.,Portland,Kenton,Entire home/apt,3,Entire rental unit,86.0,5.0
873455517566890112,Bright Portland Bungalow 3Beds/2Bath/Office,Portland,Foster-Powell,Entire home/apt,5,Entire home,225.0,5.0
