listing_id,name,chunk_start,chunk_end,nights,min_nights_required
892810816797554432,Two side-by-side apartments,2025-07-01,2025-07-31,31,1
1203935406591140352,"Cozy Townhome w/ King Beds, Game Room, South Salem",2025-07-01,2025-07-31,31,2
905063314509119872,Mr. McGregor’s Garden- Vintage maximalist,2025-07-01,2025-07-31,31,28
1188480834043734784,Sandia- a taste of the tropics,2025-07-01,2025-07-31,31,1
48384939,Private getaway in a beautiful  neighborhood,2025-07-01,2025-07-17,17,2
48384939,Private getaway in a beautiful  neighborhood,2025-07-20,2025-07-31,12,2
986358214680580736,Stylish Salem Speakeasy Downtown,2025-07-01,2025-07-17,17,2
986358214680580736,Stylish Salem Speakeasy Downtown,2025-07-21,2025-07-31,11,2
632033859737692032,Peaceful oasis 1bd/1ba on Mill Creek,2025-07-01,2025-07-17,17,1
632033859737692032,Peaceful oasis 1bd/1ba on Mill Creek,2025-07-21,2025-07-31,11,1
597152408679630848,Cozy Creek Cottage with lush backyard.,2025-07-03,2025-07-12,10,2
597152408679630848,Cozy Creek Cottage with lush backyard.,2025-07-21,2025-07-25,5,2
1273432419045339392,Adorable 2 Bedroom in Downtown Salem-Unit B,2025-07-01,2025-07-31,31,30
827548266483650688,Historic Italianate Charm,2025-07-01,2025-07-13,13,3
827548266483650688,Historic Italianate Charm,2025-07-25,2025-07-31,7,3
1071191065963811200,Townhome w/King Suite,2025-07-01,2025-07-15,15,5
1071191065963811200,Townhome w/King Suite,2025-07-21,2025-07-31,11,5
688599973174128768,West Hills Retreat |  5-Star Amenities + W/D & AC,2025-07-01,2025-07-16,16,2
688599973174128768,West Hills Retreat |  5-Star Amenities + W/D & AC,2025-07-21,2025-07-31,11,2
51022955,BunkHouse at Minto Island hosted by Salemstays.com,2025-07-01,2025-07-17,17,2
51022955,BunkHouse at Minto Island hosted by Salemstays.com,2025-07-20,2025-07-31,12,2
1055279307488510592,The Spot! Close to everything,2025-07-01,2025-07-10,10,1
1055279307488510592,The Spot! Close to everything,2025-07-14,2025-07-16,3,1
1055279307488510592,The Spot! Close to everything,2025-07-22,2025-07-31,10,1
931879154152102144,West Salem Guest Suite Apartment,2025-07-01,2025-07-31,31,21
50599685,City Center New York Style Loft  by Salemstays.com,2025-07-01,2025-07-16,16,2
50599685,City Center New York Style Loft  by Salemstays.com,2025-07-22,2025-07-24,3,2
50599685,City Center New York Style Loft  by Salemstays.com,2025-07-27,2025-07-31,5,2
965468164797552640,Great place to relax,2025-07-01,2025-07-31,31,2
1283499730819857152,Month stay? Close to downtown!,2025-07-01,2025-07-31,31,1
794878332309051648,Witchy Wonder,2025-07-01,2025-07-31,31,1
590845550474281344,The 3 Oaks @ 1133 17th SE Salem by Salemstays.com,2025-07-01,2025-07-17,17,2
590845550474281344,The 3 Oaks @ 1133 17th SE Salem by Salemstays.com,2025-07-22,2025-07-31,10,2
583694758993198464,Black & White Hills + Home Theater + 3 Story Home,2025-07-01,2025-07-18,18,1
583694758993198464,Black & White Hills + Home Theater + 3 Story Home,2025-07-21,2025-07-31,11,1
50877729,TIGER STATION LOFTS Apt B Hosted by Salemstays.com,2025-07-01,2025-07-15,15,2
50877729,TIGER STATION LOFTS Apt B Hosted by Salemstays.com,2025-07-21,2025-07-31,11,2
1293014909550233088,Have fun in a peaceful place!,2025-07-01,2025-07-16,16,1
1293014909550233088,Have fun in a peaceful place!,2025-07-21,2025-07-31,11,1
963091009110131200,"New, Private Guest House! Must See!",2025-07-01,2025-07-31,31,30
597774178813498752,Modern Upstairs Loft - Newly Renovated!,2025-07-01,2025-07-17,17,1
597774178813498752,Modern Upstairs Loft - Newly Renovated!,2025-07-21,2025-07-31,11,1
1172531987987664640,Cozy Basement: 1bedroom + Studio & Office in Salem,2025-07-01,2025-07-31,31,30
1022594945784864768,Mid-Century Comfort at The Pom,2025-07-01,2025-07-31,31,30
565639133635114880,"3rd Generation Farmhouse; 4 bdrm, 3.5 bath",2025-07-01,2025-07-17,17,1
565639133635114880,"3rd Generation Farmhouse; 4 bdrm, 3.5 bath",2025-07-21,2025-07-31,11,1
594378636886993792,Alice- The Wonderland Experience,2025-07-01,2025-07-31,31,28
14556351,Ben Lomond House,2025-07-01,2025-07-16,16,2
14556351,Ben Lomond House,2025-07-21,2025-07-26,6,2
1037187413648112256,Spacious Historic Wine Country Manor - Dogs OK,2025-07-01,2025-07-16,16,3
1037187413648112256,Spacious Historic Wine Country Manor - Dogs OK,2025-07-22,2025-07-31,10,3
864070817456517376,Sweet Quiet 2 Bedroom Duplex,2025-07-01,2025-07-17,17,2
864070817456517376,Sweet Quiet 2 Bedroom Duplex,2025-07-21,2025-07-31,11,2
741373589140803968,"Single Level, Modern, Clean 3 Bdrm 2 Bath Property",2025-07-01,2025-07-17,17,2
741373589140803968,"Single Level, Modern, Clean 3 Bdrm 2 Bath Property",2025-07-21,2025-07-31,11,2
813243880088849920,Cozy Sage House in West Hills,2025-07-01,2025-07-17,17,2
813243880088849920,Cozy Sage House in West Hills,2025-07-21,2025-07-31,11,2
16830697,Wine Escape,2025-07-01,2025-07-15,15,1
16830697,Wine Escape,2025-07-22,2025-07-31,10,1
1307999829106036736,West Salem 3 bedroom home for extended stay,2025-07-01,2025-07-31,31,30
855806067414163584,Spacious 2BR/15min downtown,2025-07-01,2025-07-14,14,2
855806067414163584,Spacious 2BR/15min downtown,2025-07-24,2025-07-31,8,2
754582963829236480,Cozy house in a safe and quite neighborhood,2025-07-01,2025-07-31,31,31
52936961,Peace & Tranquility by the River,2025-07-01,2025-07-15,15,2
52936961,Peace & Tranquility by the River,2025-07-22,2025-07-31,10,2
1056735615219445120,"The-Lil-Get-Away, 1B/1BR",2025-07-01,2025-07-18,18,1
1056735615219445120,"The-Lil-Get-Away, 1B/1BR",2025-07-23,2025-07-31,9,1
761020547818487296,Far East Escape- w/ traditional tea table,2025-07-01,2025-07-16,16,1
761020547818487296,Far East Escape- w/ traditional tea table,2025-07-22,2025-07-31,10,1
51021341,TIGER STATION LOFT Apt. A Hosted by Salemstays.com,2025-07-01,2025-07-17,17,2
51021341,TIGER STATION LOFT Apt. A Hosted by Salemstays.com,2025-07-22,2025-07-31,10,2
1148585821913164672,Relaxing Home in Salem,2025-07-01,2025-07-17,17,2
1148585821913164672,Relaxing Home in Salem,2025-07-21,2025-07-31,11,2
40070743,Friends &  Family Peaceful  Palace Home,2025-07-01,2025-07-16,16,2
40070743,Friends &  Family Peaceful  Palace Home,2025-07-22,2025-07-31,10,2
690073662897501312,Unit D Manor House (month to month),2025-07-01,2025-07-31,31,28
728177657754369152,Talavera- Mexico inspired vibrancy,2025-07-01,2025-07-31,31,1
30340285,Beautiful Suite Near Downtown & Bush Park,2025-07-01,2025-07-31,31,30
